reviewerID,first_interaction,last_interaction,frequency,monetary,avg_rating,distinct_categories,recency,customer_age_T,r_score,f_score,m_score,rfm_segment,rfm_composite_score,cluster,pca_x,pca_y,pca_z,is_outlier,centroid_distance,clv_pred,p_active,churn_probability,expected_transactions_1y,projected_clv_1y,churn_risk_level,persona,priority_level,marketing_strategy,preferred_channel,discount_incentive
A000011X,2025-09-08,2025-12-28,20,2433.35,4.1,20,4,115,5,5,5,555,5.0,3,2.0204,-0.1379,-0.4063,False,0.69,3089.28,0.678,0.322,35.33,3980.45,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000012H,2024-04-10,2025-03-29,3,387.11,3.6666666666666665,3,278,631,2,1,1,211,1.4000000000000001,1,-1.6276,0.1148,0.4985,False,0.914,57.03,0.536,0.464,0.93,111.05,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000013R,2025-03-28,2025-03-28,1,62.84,5.0,1,279,279,2,1,1,211,1.4000000000000001,1,-2.6307,2.5024,1.5866,False,2.425,113.03,0.599,0.401,0.78,45.57,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000014U,2024-02-27,2025-10-12,13,1597.96,4.153846153846154,13,81,674,3,4,4,344,3.6000000000000005,3,0.8442,-0.4226,0.661,False,1.011,340.63,0.488,0.512,3.43,390.65,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000015E,2024-01-09,2025-12-06,12,1627.3,3.8333333333333335,12,26,723,3,4,4,344,3.6000000000000005,3,0.8583,-0.3888,-0.0685,False,0.855,453.87,0.702,0.298,4.25,533.66,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000016H,2024-01-08,2025-12-31,15,1658.49,4.2,15,1,724,5,5,4,554,4.7,3,1.799,0.514,-0.7069,False,1.01,542.04,0.766,0.234,5.79,592.69,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000017Q,2024-03-13,2025-11-18,14,1749.12,4.142857142857143,14,44,659,3,4,4,344,3.6000000000000005,3,1.0816,-0.351,0.4313,False,0.688,487.73,0.611,0.389,4.74,548.23,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000018W,2025-07-29,2025-12-31,4,290.53000000000003,3.75,4,1,156,5,2,1,521,2.9,2,-0.5161,1.4987,-1.3167,False,1.208,1165.4,0.765,0.235,7.16,481.41,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000019J,2025-09-15,2025-12-31,4,526.1800000000001,4.75,4,1,108,5,2,2,522,3.2,2,0.3864,2.1643,-0.3469,False,1.356,1448.51,0.763,0.237,10.32,1256.68,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000020Q,2024-01-05,2025-06-27,13,1277.36,4.230769230769231,13,188,727,2,4,4,244,3.2,0,0.5678,-0.4776,1.0394,False,1.25,123.04,0.184,0.816,1.2,109.27,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000021J,2024-01-11,2024-12-30,7,678.5899999999999,3.0,7,367,721,1,2,2,122,1.6,0,-1.1025,-1.2009,0.066,False,0.859,27.75,0.161,0.839,0.57,51.23,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000022X,2025-09-02,2025-12-27,25,3012.12,4.52,25,5,121,4,5,5,455,4.6,3,2.5207,-0.0115,0.0844,False,0.92,3848.1,0.652,0.348,34.01,3793.68,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000023A,2024-01-10,2025-12-07,7,576.9,4.0,7,25,722,3,2,2,322,2.4000000000000004,2,-0.1034,0.491,-0.0248,False,0.957,292.16,0.732,0.268,2.59,197.74,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000024Q,2024-03-01,2025-12-01,9,903.21,4.222222222222222,9,31,671,3,3,3,333,3.0,2,0.4398,0.3231,0.3055,False,1.21,362.7,0.704,0.296,3.45,320.35,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000025K,2025-08-31,2025-12-31,9,1137.27,3.3333333333333335,9,1,123,5,3,3,533,3.8,2,0.7004,0.1427,-1.5736,False,1.14,1804.59,0.758,0.242,20.24,2368.47,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000026X,2024-01-10,2025-03-14,13,1734.12,2.8461538461538463,13,293,722,2,4,4,244,3.2,0,-0.076,-1.9987,-0.0666,False,1.079,72.93,0.05,0.95,0.33,40.59,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000027T,2024-01-05,2025-11-19,16,2144.96,4.4375,16,43,727,3,5,5,355,4.2,3,1.4774,-0.2318,0.7193,False,0.64,495.65,0.609,0.391,4.89,607.21,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000028F,2025-10-04,2025-12-31,7,1279.8700000000001,3.7142857142857144,7,1,89,5,2,4,524,3.8,2,0.7867,0.5678,-1.2269,False,0.697,2095.76,0.757,0.243,21.74,3679.79,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000029C,2025-07-11,2025-12-14,9,1264.48,4.0,9,18,174,4,3,4,434,3.7,3,0.6416,0.113,-0.0817,False,0.992,1502.75,0.612,0.388,11.55,1502.76,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000030Q,2025-09-08,2025-12-13,13,1506.66,4.230769230769231,13,19,115,4,4,4,444,4.0,3,1.15,0.0476,0.1887,False,0.461,1884.94,0.373,0.627,15.4,1652.71,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000031M,2024-01-21,2025-02-01,8,1060.68,3.0,8,334,711,1,3,3,133,2.1999999999999997,0,-0.7044,-1.4333,0.0654,False,0.632,42.3,0.141,0.859,0.58,71.12,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000032U,2024-05-13,2025-12-27,11,1380.19,4.181818181818182,11,5,598,4,4,4,444,4.0,3,1.1949,0.4461,-0.3349,False,0.772,634.7,0.755,0.245,5.07,589.06,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000033K,2025-09-16,2025-12-24,19,1724.01,4.315789473684211,19,8,107,4,5,4,454,4.3,3,1.7542,0.0796,-0.0037,False,0.224,2242.0,0.571,0.429,29.77,2501.22,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000034W,2025-12-03,2025-12-03,1,179.05,5.0,1,29,29,3,1,1,311,1.8000000000000003,1,-1.5088,2.6507,0.7928,False,2.356,1240.46,0.599,0.401,7.54,1249.24,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000035P,2024-02-25,2025-07-25,3,298.11,3.6666666666666665,3,160,676,2,1,1,211,1.4000000000000001,1,-1.6722,0.3723,0.2722,False,0.723,112.92,0.653,0.347,1.06,97.31,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000036Y,2024-09-21,2024-09-21,1,220.34,3.0,1,467,467,1,1,1,111,1.0,1,-3.0351,-0.0054,-0.0106,False,0.885,20.8,0.599,0.401,0.47,95.47,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000037J,2024-03-15,2025-11-20,13,1369.81,4.153846153846154,13,42,657,3,4,4,344,3.6000000000000005,3,0.8863,-0.1854,0.4044,False,0.785,421.37,0.631,0.369,4.55,444.4,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000038Q,2025-09-07,2025-12-26,12,1515.89,4.416666666666667,12,6,116,4,4,4,444,4.0,3,1.414,0.536,-0.045,False,0.61,2075.25,0.669,0.331,25.26,2954.43,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000039K,2024-02-25,2025-02-06,14,1583.66,3.142857142857143,14,329,676,1,4,4,144,2.8,0,0.0603,-1.7564,0.2545,False,0.825,58.86,0.05,0.95,0.38,39.59,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000040G,2025-07-03,2025-12-08,4,757.34,4.25,4,24,182,3,2,2,322,2.4000000000000004,2,-0.1938,0.8788,0.1756,False,1.095,1147.17,0.685,0.315,5.5,963.7,Medium,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000041N,2025-09-21,2025-12-25,13,1604.91,4.461538461538462,13,7,102,4,4,4,444,4.0,3,1.5082,0.4758,0.0569,False,0.507,2208.52,0.619,0.381,28.81,3292.84,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000042R,2025-07-17,2025-12-31,6,613.0,4.333333333333333,6,1,168,5,2,2,522,3.2,2,0.546,1.5269,-0.7024,False,0.68,1298.81,0.763,0.237,9.95,941.4,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000043D,2025-09-18,2025-12-23,23,2459.01,4.826086956521739,23,9,105,4,5,5,455,4.6,3,2.3806,0.2663,0.548,False,0.928,3059.54,0.543,0.457,28.3,2801.6,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000044H,2024-07-05,2024-12-16,3,390.1,3.6666666666666665,3,381,545,1,1,1,111,1.0,1,-1.6899,0.0282,0.6193,False,0.96,33.92,0.383,0.617,0.77,92.6,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000045N,2024-04-05,2025-09-09,8,790.69,4.125,8,114,636,2,3,2,232,2.3,0,-0.0578,0.0104,0.6891,False,1.12,209.86,0.513,0.487,2.36,215.63,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000046U,2024-01-03,2025-01-27,11,1600.1299999999999,2.5454545454545454,11,339,729,1,4,4,144,2.8,0,-0.4492,-2.1927,-0.3079,False,1.341,49.25,0.053,0.947,0.29,38.98,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000047M,2024-01-08,2025-12-23,15,1683.3500000000001,4.066666666666666,15,9,724,4,5,4,454,4.3,3,1.3933,-0.0419,-0.2138,False,0.403,518.11,0.741,0.259,5.6,582.22,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000048U,2025-06-14,2025-12-31,9,769.26,3.888888888888889,9,1,201,5,3,2,532,3.5,2,0.7542,0.8208,-1.0779,False,0.503,1275.78,0.762,0.238,12.46,985.72,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000049K,2025-06-17,2025-11-19,8,815.9200000000001,4.125,8,43,198,3,3,2,332,2.7,2,0.1668,0.2519,0.3229,False,1.271,979.76,0.453,0.547,6.68,630.42,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000050Y,2024-01-10,2025-08-11,14,1804.7,4.428571428571429,14,143,722,2,4,5,245,3.5,3,1.0052,-0.4103,1.1458,False,1.243,215.06,0.265,0.735,1.88,224.17,High,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000051K,2025-02-12,2025-02-12,1,231.98,5.0,1,323,323,1,1,1,111,1.0,1,-1.8566,1.909,1.7201,False,2.121,80.65,0.599,0.401,0.68,145.32,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000052A,2024-04-07,2025-01-17,7,769.37,3.2857142857142856,7,349,634,1,2,2,122,1.6,0,-0.8612,-0.9786,0.3213,False,0.559,40.23,0.132,0.868,0.53,54.17,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000053X,2024-05-02,2024-05-02,1,163.78,4.0,1,609,609,1,1,1,111,1.0,1,-2.7412,0.9701,1.0075,False,1.003,5.36,0.599,0.401,0.36,54.41,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000054N,2025-01-15,2025-07-08,3,330.41,3.6666666666666665,3,177,351,2,1,1,211,1.4000000000000001,1,-1.6298,0.3017,0.3168,False,0.79,218.49,0.497,0.503,1.55,158.25,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000055J,2025-06-08,2025-12-31,8,725.35,4.0,8,1,207,5,3,2,532,3.5,2,0.687,1.0073,-0.9854,False,0.413,1237.54,0.763,0.237,10.76,903.56,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000056A,2024-08-30,2025-09-19,3,115.14,2.6666666666666665,3,104,489,3,1,1,311,1.8000000000000003,1,-2.7033,-0.0284,-0.8826,False,1.252,239.61,0.666,0.334,1.49,52.99,Medium,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000057U,2025-09-03,2025-12-10,27,3009.66,4.0,27,22,120,4,5,5,455,4.6,3,2.0189,-0.8873,0.1188,False,0.965,3397.87,0.212,0.788,11.04,1139.7,High,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000058X,2024-01-24,2025-12-18,12,1423.21,4.083333333333333,12,14,708,4,4,4,444,4.0,3,1.034,0.0544,-0.0682,False,0.606,467.27,0.733,0.267,4.53,498.01,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000059Z,2025-09-18,2025-12-30,24,2870.89,4.458333333333333,24,2,105,5,5,5,555,5.0,3,2.5725,0.1583,-0.2446,False,1.054,3845.33,0.725,0.275,37.82,4189.44,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000060B,2024-03-11,2025-10-23,13,1745.87,4.0,13,70,661,3,4,4,344,3.6000000000000005,3,0.8478,-0.5638,0.4674,False,0.991,405.13,0.525,0.475,3.77,468.32,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000061V,2024-01-16,2025-05-25,9,762.4,4.222222222222222,9,221,716,2,3,2,232,2.3,0,-0.0791,-0.1183,1.0375,False,1.171,80.73,0.265,0.735,1.21,95.21,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000062Z,2024-02-13,2025-11-13,14,1677.1000000000001,3.7857142857142856,14,49,688,3,4,4,344,3.6000000000000005,3,0.8422,-0.6893,0.1354,False,1.015,426.01,0.599,0.401,4.45,493.68,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000063R,2025-12-03,2025-12-03,1,88.54,1.0,1,29,29,3,1,1,311,1.8000000000000003,1,-4.0794,-0.7277,-2.986,False,3.816,1191.67,0.599,0.401,7.54,617.75,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000064K,2024-03-02,2025-12-19,7,868.45,3.857142857142857,7,13,670,4,2,3,423,3.1,2,0.2065,0.3489,-0.371,False,0.677,408.81,0.749,0.251,2.85,327.95,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000065H,2024-01-01,2025-12-24,14,1555.08,3.9285714285714284,14,8,731,4,4,4,444,4.0,3,1.2377,-0.0707,-0.3927,False,0.639,486.4,0.746,0.254,5.21,536.35,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000066V,2025-08-20,2025-12-31,4,428.37,4.25,4,1,134,5,2,2,522,3.2,2,-0.0082,1.7926,-0.8263,False,0.991,1304.68,0.764,0.236,8.33,825.69,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000067M,2025-09-08,2025-12-29,20,2263.78,4.0,20,3,115,5,5,5,555,5.0,3,1.9697,-0.1397,-0.5896,False,0.817,2885.75,0.702,0.298,36.61,3836.64,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000068H,2024-11-18,2024-11-28,2,216.74,3.0,2,399,409,1,1,1,111,1.0,1,-2.6656,-0.1845,-0.042,False,0.818,38.25,0.411,0.589,0.73,73.56,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000069W,2025-09-04,2025-12-16,25,2783.63,4.52,25,16,119,4,5,5,455,4.6,3,2.2493,-0.254,0.4787,False,0.773,3234.09,0.348,0.652,18.14,1869.89,High,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000070G,2024-08-20,2024-08-20,1,214.05,4.0,1,499,499,1,1,1,111,1.0,1,-2.5331,0.9088,0.9473,False,0.866,15.36,0.599,0.401,0.44,86.79,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000071V,2024-01-28,2024-10-21,11,1361.08,3.1818181818181817,11,437,704,1,4,4,144,2.8,0,-0.264,-1.6056,0.374,False,0.589,23.61,0.05,0.95,0.29,32.67,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
